Name,Type,Sparsity
module.features.0.0.weight,Conv3d,0.2
module.features.0.1.weight,BatchNorm3d,0.2
module.features.0.2.weight,ReLU6,0.2
module.features.1.conv.0.weight,Conv3d,0.2
module.features.1.conv.1.weight,BatchNorm3d,0.2
module.features.1.conv.2.weight,ReLU6,0.2
module.features.1.conv.3.weight,Conv3d,0.2
module.features.1.conv.4.weight,BatchNorm3d,0.2
module.features.2.conv.0.weight,Conv3d,0.2
module.features.2.conv.1.weight,BatchNorm3d,0.2
module.features.2.conv.2.weight,ReLU6,0.2
module.features.2.conv.3.weight,Conv3d,0.2
module.features.2.conv.4.weight,BatchNorm3d,0.2
module.features.2.conv.5.weight,ReLU6,0.2
module.features.2.conv.6.weight,Conv3d,0.2
module.features.2.conv.7.weight,BatchNorm3d,0.2
module.features.3.conv.0.weight,Conv3d,0.2
module.features.3.conv.1.weight,BatchNorm3d,0.2
module.features.3.conv.2.weight,ReLU6,0.2
module.features.3.conv.3.weight,Conv3d,0.2
module.features.3.conv.4.weight,BatchNorm3d,0.2
module.features.3.conv.5.weight,ReLU6,0.2
module.features.3.conv.6.weight,Conv3d,0.2
module.features.3.conv.7.weight,BatchNorm3d,0.2
module.features.4.conv.0.weight,Conv3d,0.2
module.features.4.conv.1.weight,BatchNorm3d,0.2
module.features.4.conv.2.weight,ReLU6,0.2
module.features.4.conv.3.weight,Conv3d,0.2
module.features.4.conv.4.weight,BatchNorm3d,0.2
module.features.4.conv.5.weight,ReLU6,0.2
module.features.4.conv.6.weight,Conv3d,0.2
module.features.4.conv.7.weight,BatchNorm3d,0.2
module.features.5.conv.0.weight,Conv3d,0.2
module.features.5.conv.1.weight,BatchNorm3d,0.2
module.features.5.conv.2.weight,ReLU6,0.2
module.features.5.conv.3.weight,Conv3d,0.2
module.features.5.conv.4.weight,BatchNorm3d,0.2
module.features.5.conv.5.weight,ReLU6,0.2
module.features.5.conv.6.weight,Conv3d,0.2
module.features.5.conv.7.weight,BatchNorm3d,0.2
module.features.6.conv.0.weight,Conv3d,0.2
module.features.6.conv.1.weight,BatchNorm3d,0.2
