Name,Type,Sparsity
module.conv1.weight,Conv3d,0.8
module.bn1.weight,BatchNorm3d,0.8
module.layer1.0.conv1.weight,Conv3d,0.8
module.layer1.0.bn1.weight,BatchNorm3d,0.8
module.layer1.0.conv2.weight,Conv3d,0.8
module.layer1.0.bn2.weight,BatchNorm3d,0.8
module.layer1.1.conv1.weight,Conv3d,0.8
module.layer1.1.bn1.weight,BatchNorm3d,0.8
module.layer1.1.conv2.weight,Conv3d,0.8
module.layer1.1.bn2.weight,BatchNorm3d,0.8
module.layer2.0.conv1.weight,Conv3d,0.8
module.layer2.0.bn1.weight,BatchNorm3d,0.8
module.layer2.0.conv2.weight,Conv3d,0.8
module.layer2.0.bn2.weight,BatchNorm3d,0.8
module.layer2.1.conv1.weight,Conv3d,0.8
module.layer2.1.bn1.weight,BatchNorm3d,0.8
module.layer2.1.conv2.weight,Conv3d,0.8
module.layer2.1.bn2.weight,BatchNorm3d,0.8
module.layer3.0.conv1.weight,Conv3d,0.8
module.layer3.0.bn1.weight,BatchNorm3d,0.8
module.layer3.0.conv2.weight,Conv3d,0.8
module.layer3.0.bn2.weight,BatchNorm3d,0.8
module.layer3.1.conv1.weight,Conv3d,0.8
module.layer3.1.bn1.weight,BatchNorm3d,0.8
module.layer3.1.conv2.weight,Conv3d,0.8
module.layer3.1.bn2.weight,BatchNorm3d,0.8
module.layer4.0.conv1.weight,Conv3d,0.8
module.layer4.0.bn1.weight,BatchNorm3d,0.8
module.layer4.0.conv2.weight,Conv3d,0.8
module.layer4.0.bn2.weight,BatchNorm3d,0.8
module.layer4.1.conv1.weight,Conv3d,0.8
module.layer4.1.bn1.weight,BatchNorm3d,0.8
module.layer4.1.conv2.weight,Conv3d,0.8
module.layer4.1.bn2.weight,BatchNorm3d,0.8
module.fc.weight,Linear,0.8
